klaw01.are:ASklTaught 3 115
klaw01.are:ASklTaught 4 83
klaw01.are:ASklTaught 5 89
klaw01.are:ASklTaught 6 65
klaw01.are:ASklTaught 7 22
klaw01.are:ASklTaught 0 22
klaw01.are:ASklTaught 1 40
klaw01.are:ASklTaught 2 55
klaw01.are:ASklTaught 3 57
kort.are:ASklTaught 0 553
mages01.are:ASklTaught 0 3
mages01.are:ASklTaught 1 109
mages01.are:ASklTaught 2 110
mages01.are:ASklTaught 3 108
mages01e.are:ASklTaught 0 3
mages01e.are:ASklTaught 1 109
mages01e.are:ASklTaught 2 108
mages01e.are:ASklTaught 3 110
marabel.are:ASklTaught 0 563
marabel.are:ASklTaught 1 569
marabel.are:ASklTaught 0 7
marabel.are:ASklTaught 1 29
marabel.are:ASklTaught 2 53
marabel.are:ASklTaught 3 54
nico.are:ASklTaught 0 58
nico.are:ASklTaught 1 36
nico.are:ASklTaught 2 38
nico.are:ASklTaught 3 25
nico.are:ASklTaught 4 90
nico.are:ASklTaught 5 96
nico.are:ASklTaught 6 42
nico.are:ASklTaught 7 43
nico.are:ASklTaught 8 78
nico.are:ASklTaught 9 37
nico.are:ASklTaught 10 85
nico.are:ASklTaught 11 102
nico.are:ASklTaught 12 97
nico.are:ASklTaught 13 11
nico.are:ASklTaught 14 60
nico.are:ASklTaught 15 69
nico.are:ASklTaught 16 51
nico.are:ASklTaught 17 66
nico.are:ASklTaught 18 103
nico.are:ASklTaught 19 14
nico.are:ASklTaught 20 52
nico.are:ASklTaught 21 91
nico.are:ASklTaught 22 26
nico.are:ASklTaught 23 56
nico.are:ASklTaught 24 79
nico.are:ASklTaught 25 114
nico.are:ASklTaught 26 23
nico.are:ASklTaught 27 10
nico.are:ASklTaught 28 59
nico.are:ASklTaught 0 575
nico.are:ASklTaught 1 553
nico.are:ASklTaught 2 573
nico.are:ASklTaught 3 578
nico.are:ASklTaught 4 576
nico.are:ASklTaught 5 552
nico.are:ASklTaught 6 557
nico.are:ASklTaught 7 574
nico.are:ASklTaught 8 566
nico.are:ASklTaught 9 559
nico.are:ASklTaught 10 572
nico.are:ASklTaught 11 561
nico.are:ASklTaught 12 565
nico.are:ASklTaught 13 555
nico.are:ASklTaught 14 569
nico.are:ASklTaught 15 563
nico01.are:ASklTaught 0 62
nico01.are:ASklTaught 1 101
nico01.are:ASklTaught 2 112
nico01.are:ASklTaught 3 98
nico01.are:ASklTaught 0 28
nico01.are:ASklTaught 1 83
nico01.are:ASklTaught 0 13
nico01.are:ASklTaught 1 87
nico3.are:ASklTaught 0 58
nico3.are:ASklTaught 1 36
nico3.are:ASklTaught 2 38
nico3.are:ASklTaught 3 25
nico3.are:ASklTaught 4 90
nico3.are:ASklTaught 5 96
nico3.are:ASklTaught 6 42
nico3.are:ASklTaught 7 43
nico3.are:ASklTaught 8 78
nico3.are:ASklTaught 9 37
nico3.are:ASklTaught 10 85
nico3.are:ASklTaught 11 102
nico3.are:ASklTaught 12 97
nico3.are:ASklTaught 13 11
nico3.are:ASklTaught 14 60
nico3.are:ASklTaught 15 69
nico3.are:ASklTaught 16 51
nico3.are:ASklTaught 17 66
nico3.are:ASklTaught 18 103
nico3.are:ASklTaught 19 14
nico3.are:ASklTaught 20 52
nico3.are:ASklTaught 21 91
nico3.are:ASklTaught 22 26
nico3.are:ASklTaught 23 56
nico3.are:ASklTaught 24 79
nico3.are:ASklTaught 25 114
nico3.are:ASklTaught 26 23
nico3.are:ASklTaught 27 10
nico3.are:ASklTaught 28 59
nico3.are:ASklTaught 0 575
nico3.are:ASklTaught 1 553
nico3.are:ASklTaught 2 573
nico3.are:ASklTaught 3 578
nico3.are:ASklTaught 4 576
nico3.are:ASklTaught 5 552
nico3.are:ASklTaught 6 557
nico3.are:ASklTaught 7 574
nico3.are:ASklTaught 8 566
nico3.are:ASklTaught 9 559
nico3.are:ASklTaught 10 572
nico3.are:ASklTaught 11 561
nico3.are:ASklTaught 12 565
nico3.are:ASklTaught 13 555
nico3.are:ASklTaught 14 569
nico3.are:ASklTaught 15 563
odie.are:ASklTaught 0 12
odie.are:ASklTaught 0 12
orfive.are:ASklTaught 0 90
orfive.are:ASklTaught 1 38
orfive.are:ASklTaught 2 14
orinsix.are:ASklTaught 0 17
orinsix.are:ASklTaught 1 113
quran1.are:ASklTaught 0 126
smack.are:ASklTaught 0 578
smack.are:ASklTaught 1 559
smack.are:ASklTaught 2 572
smack.are:ASklTaught 3 557
smack.are:ASklTaught 0 56
smack.are:ASklTaught 1 59
smack.are:ASklTaught 2 61
smack.are:ASklTaught 0 575
smack.are:ASklTaught 1 573
smack.are:ASklTaught 2 574
smack.are:ASklTaught 3 565
smack.are:ASklTaught 4 561
smack.are:ASklTaught 5 566
smack.are:ASklTaught 0 58
smack.are:ASklTaught 1 11
smack.are:ASklTaught 2 25
smack.are:ASklTaught 3 42
smack.are:ASklTaught 4 37
smack.are:ASklTaught 5 52
smack.are:ASklTaught 6 26
smack.are:ASklTaught 7 43
smack.are:ASklTaught 8 21
smack.are:ASklTaught 0 60
smack.are:ASklTaught 1 85
smack.are:ASklTaught 0 552
warriore.are:ASklTaught 0 570
warriore.are:ASklTaught 1 571
warriore.are:ASklTaught 2 580
warriors.are:ASklTaught 0 570
warriors.are:ASklTaught 1 571
warriors.are:ASklTaught 2 580
xentwo.are:ASklTaught 0 21
xentwo.are:ASklTaught 1 23
xentwo.are:ASklTaught 2 10
xentwo.are:ASklTaught 3 104
xentwo.are:ASklTaught 4 165
xentwo.are:ASklTaught 5 16
xxthir.are:ASklTaught 0 16
xxthir.are:ASklTaught 1 23
xxthir.are:ASklTaught 2 91
xxthir.are:ASklTaught 3 51
xxthir.are:ASklTaught 4 66
xxx3.are:ASklTaught 0 43
xxx3.are:ASklTaught 0 69
xxx3.are:ASklTaught 1 51
xxx3.are:ASklTaught 2 66
xxx3.are:ASklTaught 3 103
xxx3.are:ASklTaught 4 14
xxx3.are:ASklTaught 5 91
xxx3.are:ASklTaught 0 575
xxx3.are:ASklTaught 1 553
xxx3.are:ASklTaught 2 573
xxx3.are:ASklTaught 3 574
xxx3.are:ASklTaught 4 566
xxx3.are:ASklTaught 0 37
xxx3.are:ASklTaught 1 39
xxx3.are:ASklTaught 0 572
xxx3.are:ASklTaught 1 559
xxx3.are:ASklTaught 2 578
xxx3.are:ASklTaught 3 557
xylar2.are:ASklTaught 0 36
xylar2.are:ASklTaught 1 25
xylar2.are:ASklTaught 2 42
xylar2.are:ASklTaught 3 38
xylar2.are:ASklTaught 4 60
xylar2.are:ASklTaught 5 52
xylar2.are:ASklTaught 0 58
xylar2.are:ASklTaught 1 90
xylar2.are:ASklTaught 2 78
xylar2.are:ASklTaught 3 102
xylar2.are:ASklTaught 4 11
xylar2.are:ASklTaught 0 96
xylar2.are:ASklTaught 1 85
xylar2.are:ASklTaught 2 11
xylar2.are:ASklTaught 3 97
xylar2.are:ASklTaught 4 79
xylar2.are:ASklTaught 5 114
xylar2.are:ASklTaught 0 565
xylar2.are:ASklTaught 1 561
xylar2.are:ASklTaught 2 574
yardik.are:ASklTaught 0 78
yardik.are:ASklTaught 1 103
yardik.are:ASklTaught 2 104
yardik.are:ASklTaught 0 97
yardik.are:ASklTaught 1 96
zz15.are:ASklTaught 0 63
zz15.are:ASklTaught 0 10
